wort;artikel;silben;trennung;wortart;gruppe;bild;bedeutung;satz;liste
Gauner;der;Gau-ner;Gau-ner;Nomen;;;jemand, der andere betrügt;Der Gauner wurde von der Polizei gestellt.;Merkwörter Klasse 2
Leukoplast;das;Leu-ko-plast;Leu-ko-plast;Nomen;;;;;Merkwörter Klasse 2
Rum;der;Rum;Rum;Nomen;;;;;Merkwörter Klasse 2
schikanieren;;schi-ka-nie-ren;schi-ka-nie-ren;Verb;;;;;Merkwörter Klasse 2
Mai;der;Mai;Mai;Nomen;;;;;Merkwörter Klasse 2
Hai;der;Hai;Hai;Nomen;;;;;Merkwörter Klasse 2
Laich;der;Laich;Laich;Nomen;;;die Eier von Fröschen und Fischen im Wasser;Im Teich schwimmt der Laich der Frösche.;Merkwörter Klasse 2
Kaiser;der;Kai-ser;Kai-ser;Nomen;;;;;Merkwörter Klasse 2
Taifun;der;Tai-fun;Tai-fun;Nomen;;;ein sehr starker Wirbelsturm in Asien;Der Taifun brachte heftigen Regen.;Merkwörter Klasse 2
Laib;der;Laib;Laib;Nomen;;;ein ganzes rundes Brot;Der Bäcker holt einen Laib Brot aus dem Ofen.;Merkwörter Klasse 2
Saite;die;Sai-te;Sai-te;Nomen;;;eine gespannte Schnur an einem Musikinstrument;Auf der Gitarre ist eine Saite gerissen.;Merkwörter Klasse 2
Sohn;der;Sohn;Sohn;Nomen;;;;;Merkwörter Klasse 2
Gefahr;die;Ge-fahr;Ge-fahr;Nomen;;;;;Merkwörter Klasse 2
Ohr;das;Ohr;Ohr;Nomen;;;;;Merkwörter Klasse 2
Uhr;die;Uhr;Uhr;Nomen;;;;;Merkwörter Klasse 2
Mehl;das;Mehl;Mehl;Nomen;;;;;Merkwörter Klasse 2
Huhn;das;Huhn;Huhn;Nomen;;;;;Merkwörter Klasse 2
Sahne;die;Sah-ne;Sah-ne;Nomen;;;;;Merkwörter Klasse 2
Ruhm;der;Ruhm;Ruhm;Nomen;;;wenn jemand sehr bekannt und berühmt ist;Der Sänger genießt seinen Ruhm.;Merkwörter Klasse 2
obwohl;;ob-wohl;ob-wohl;anderes;;;;;Merkwörter Klasse 2
ehrlich;;ehr-lich;ehr-lich;Adjektiv;;;;;Merkwörter Klasse 2
fahren;;fah-ren;fah-ren;Verb;;;;;Merkwörter Klasse 2
fehlen;;feh-len;feh-len;Verb;;;;;Merkwörter Klasse 2
Stuhl;der;Stuhl;Stuhl;Nomen;;;;;Merkwörter Klasse 2
Zahn;der;Zahn;Zahn;Nomen;;;;;Merkwörter Klasse 2
Gefühl;das;Ge-fühl;Ge-fühl;Nomen;;;;;Merkwörter Klasse 2
Zahl;die;Zahl;Zahl;Nomen;;;;;Merkwörter Klasse 2
Lohn;der;Lohn;Lohn;Nomen;;;;;Merkwörter Klasse 2
Fohlen;das;Foh-len;Foh-len;Nomen;;;ein junges Pferd;Das Fohlen läuft neben seiner Mutter.;Merkwörter Klasse 2
Wahl;die;Wahl;Wahl;Nomen;;;;;Merkwörter Klasse 2
Fehler;der;Feh-ler;Feh-ler;Nomen;;;;;Merkwörter Klasse 2
Fahne;die;Fah-ne;Fah-ne;Nomen;;;;;Merkwörter Klasse 2
Hahn;der;Hahn;Hahn;Nomen;;;;;Merkwörter Klasse 2
wohnen;;woh-nen;woh-nen;Verb;;;;;Merkwörter Klasse 2
sehr;;sehr;sehr;anderes;;;;;Merkwörter Klasse 2
hohl;;hohl;hohl;Adjektiv;;;;;Merkwörter Klasse 2
belohnen;;be-loh-nen;be-loh-nen;Verb;;;;;Merkwörter Klasse 2
Schiene;die;Schie-ne;Schie-ne;Nomen;;;;;Merkwörter Klasse 2
Spiegel;der;Spie-gel;Spie-gel;Nomen;;;;;Merkwörter Klasse 2
frieren;;frie-ren;frie-ren;Verb;;;;;Merkwörter Klasse 2
lieben;;lie-ben;lie-ben;Verb;;;;;Merkwörter Klasse 2
ziemlich;;ziem-lich;ziem-lich;Adjektiv;;;;;Merkwörter Klasse 2
sieben;;sie-ben;sie-ben;Zahlwort;;;;;Merkwörter Klasse 2
Tier;das;Tier;Tier;Nomen;;;;;Merkwörter Klasse 2
schwierig;;schwie-rig;schwie-rig;Adjektiv;;;;;Merkwörter Klasse 2
verlieren;;ver-lie-ren;ver-lie-ren;Verb;;;;;Merkwörter Klasse 2
nie;;nie;nie;anderes;;;;;Merkwörter Klasse 2
Beispiel;das;Bei-spiel;Bei-spiel;Nomen;;;;;Merkwörter Klasse 2
Frieden;der;Frie-den;Frie-den;Nomen;;;;;Merkwörter Klasse 2
Kiefer;die;Kie-fer;Kie-fer;Nomen;;;ein Nadelbaum mit langen Nadeln;Die Kiefer wächst auf sandigem Boden.;Merkwörter Klasse 2
Miete;die;Mie-te;Mie-te;Nomen;;;das Geld, das man jeden Monat für eine Wohnung bezahlt;Meine Eltern zahlen am Ersten die Miete.;Merkwörter Klasse 2
Tiefe;die;Tie-fe;Tie-fe;Nomen;;;;;Merkwörter Klasse 2
Ziel;das;Ziel;Ziel;Nomen;;;;;Merkwörter Klasse 2
Krieg;der;Krieg;Krieg;Nomen;;;;;Merkwörter Klasse 2
Spiel;das;Spiel;Spiel;Nomen;;;;;Merkwörter Klasse 2
Stiel;der;Stiel;Stiel;Nomen;;;der lange dünne Griff an einem Werkzeug oder an einer Blume;Der Besen hat einen langen Stiel.;Merkwörter Klasse 2
Rosine;die;Ro-si-ne;Ro-si-ne;Nomen;;;;;Merkwörter Klasse 2
Apfelsine;die;Ap-fel-si-ne;Ap-fel-si-ne;Nomen;;;;;Merkwörter Klasse 2
Maschine;die;Ma-schi-ne;Ma-schi-ne;Nomen;;;;;Merkwörter Klasse 2
Kabine;die;Ka-bi-ne;Ka-bi-ne;Nomen;;;;;Merkwörter Klasse 2
Vitamine;die;Vi-ta-mi-ne;Vi-ta-mi-ne;Nomen;;;;;Merkwörter Klasse 2
Kusine;die;Ku-si-ne;Ku-si-ne;Nomen;;;die Tochter von Onkel oder Tante;Meine Kusine wohnt in Hamburg.;Merkwörter Klasse 2
Margarine;die;Mar-ga-ri-ne;Mar-ga-ri-ne;Nomen;;;ein Streichfett aus Pflanzenöl;Auf das Brot kommt etwas Margarine.;Merkwörter Klasse 2
